industria_google,pe_promedio,netdebt/ebitda_promedio,growth_sales_industria,etf_name,etf_seguimiento,notion;
"Aerospace & Defense,20 a 25,1.95,0.06,iShares U.S. Aerospace & Defense ETF,ITA,""fondo cotizado que sigue a empresas del sector aeroespacial y defensa en EE.UU., incluyendo Boeing, Lockheed Martin, Raytheon Technologies y Northrop Grumman.""";
"Agricultural Products,15 a 18,1.4,0.05,iShares MSCI Global Agriculture Producers ETF,VEGI,""es FONDO cotizado que invierte en empresas globales dedicadas a la producciÃƒÂ³n agrÃƒÂ­cola, incluyendo: cultivo de frutas, vegetales, granos y productos agrÃƒÂ­colas. Incluye compaÃƒÂ±ÃƒÂ­as como Nutrien, Corteva, FMC y Archer-Daniels-Midland.""";
"Fertilizers & Agricultural Chemicals,12 a 20,2.05,0.04,VanEck Agribusiness ETF,MOO,""fondo especializado en agronegocios, con alta exposiciÃƒÂ³n a productores de fertilizantes como Nutrien, CF Industries y Mosaic. Refleja el comportamiento de los insumos agrÃƒÂ­colas.""";
"Airlines,6 a 8,5.4,0.1,U.S. Global Jets ETF,JETS,""fondo temÃƒÂ¡tico centrado en la industria aÃƒÂ©rea global, invierte en aerolÃƒÂ­neas como Delta, United, Southwest, y fabricantes como Boeing.""";
Aluminum,8 a 10,2.2,0.04,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,JJU,ETF que busca reflejar el rendimiento de precios del aluminio. InversiÃƒÂ³n indirecta en el commodity a travÃƒÂ©s de contratos de futuros.;
"Apparel Accessories & Luxury Goods,13 a 24,1.3,0.07,Global X MSCI China Consumer Discretionary ETF,CHIQ,""CHIQ: ETF con exposiciÃƒÂ³n a marcas de lujo y consumo discrecional, especialmente del mercado chino. Incluye compaÃƒÂ±ÃƒÂ­as como Li Ning, Anta Sports, y otros productores de moda.""";
"Apparel Retail,17 a 10,2.1,0.05,SPDR S&P Retail ETF,XRT,""XRT: ETF diversificado que representa el sector retail en EE.UU., con componentes significativos de tiendas de ropa como Gap, American Eagle, Foot Locker y Urban Outfitters.""";
"Asset Management,14,0.25,0.04,Schwab U.S. Dividend Equity ETF,SCHD,""SCHD: ETF que invierte en acciones de alta calidad y dividendos crecientes en EE.UU., con empresas de gestiÃƒÂ³n de activos como BlackRock, Vanguard y Capital Group.""";
"Asset Management,14,0.3,0.05,Schwab U.S. Dividend Equity ETF,SCHD,""SCHD: ETF que invierte en acciones de alta calidad y dividendos crecientes en EE.UU., con empresas de gestiÃƒÂ³n de activos como BlackRock, Vanguard y Capital Group.""";
"Asset Management,14,0.3,0.05,Schwab U.S. Dividend Equity ETF,SCHD,""SCHD: ETF que invierte en acciones de alta calidad y dividendos crecientes en EE.UU., con empresas de gestiÃƒÂ³n de activos como BlackRock, Vanguard y Capital Group.""";
"Asset Management,14,0.3,0.05,Schwab U.S. Dividend Equity ETF,SCHD,""SCHD: ETF que invierte en acciones de alta calidad y dividendos crecientes en EE.UU., con empresas de gestiÃƒÂ³n de activos como BlackRock, Vanguard y Capital Group.""";
"Asset Management,14,0.3,0.05,Schwab U.S. Dividend Equity ETF,SCHD,""SCHD: ETF que invierte en acciones de alta calidad y dividendos crecientes en EE.UU., con empresas de gestiÃƒÂ³n de activos como BlackRock, Vanguard y Capital Group.""";
"Automotive Retail,25,3.85,0.1,First Trust NASDAQ Global Auto Index Fund,CARZ,""ETF global de fabricantes automotrices, con foco en EV y tecnologÃ­a""";
Auto Parts & Equipment,20.8,1.5,0.07,iShares U.S. Transportation ETF,IYT,ETF de transporte que incluye empresas de piezas auto: exposiciÃ³n diversificada al sector Auto Parts;
"Banks,10.5,0.55,0.04,SPDR S&P Bank ETF,KBE,""KBE: ETF que rastrea bancos grandes y medianos de EE.UU., incluye JPMorgan, BofA, etc.""";
"Banks - Diversified,10.8,0.9,0.03,Invesco KBW Bank ETF,KBWB,""KBWB: ETF enfocado en bancos diversificados como JPMorgan Chase, Wells Fargo, etc.""";
Regional Banks,8 a 13,1,0.03,iShares U.S. Regional Banks ETF,IAT,IAT: ETF que aporta exposiciÃƒÂ³n a bancos regionales en EE.UU.;
Distillers & Vintners,16,1.45,0.04,Vanguard High Dividend Yield ETF,VYM,VYM: fondo de alto dividendo con exposiciÃƒÂ³n a bebidas alcohÃƒÂ³licas;
Distillers & Vintners,16,1.45,0.04,Vanguard High Dividend Yield ETF,VYM,VYM: fondo de alto dividendo con exposiciÃƒÂ³n a bebidas alcohÃƒÂ³licas;
"Biotechnology,21,0.65,0.1,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,""NOBL: incluye empresas del S&P 500 con historial de dividendos crecientes (como grandes farmacÃƒÂ©uticas), yield ~1.9%.""";
"Broadcasting,19,1.8,0.02,ProShares S&P 500 Dividend Aristocrats ETF,NOBL,""Incluye empresas de broadcasting sÃƒÂ³lidas con dividendos consistentes (ej. Comcast, Disney).""";
"Chemicals,12,1.75,0.04,SPDR Portfolio S&P 500 High Dividend ETF,SPYD,""Incluye grandes quÃƒÂ­micas como Dow, DuPont""";
"Specialty Chemicals,15,1.6,0.06,SPDR Portfolio S&P 500 High Dividend ETF,SPYD,""Similar al anterior, cubre lÃƒÂ­deres como Chemours, LG Chem.""";
"Coal & Consumable Fuels,11.68,3.2,0.03,SPDR Portfolio S&P 500 High Dividend ETF,SPYD,""Sector energÃƒÂ©tico, incluye dividendos estables de empresas como Peabody""";
Conglomerates,14.61,1.5,0.03,SPDR S&P Telecom ETF,XTL,XTL: ETF de empresas diversificadas de telecomunicaciones;
"Construction & Engineering,13-18 a 32,2.8,0.04,Industrial Select Sector SPDR Fund,XLI,""XLI: ETF sector industrial incluyendo infraestructura, maquinaria y servicios de ingenierÃƒÂ­a como Jacobs Engineering, Fluor, AECOM.""";
"Construction Materials,22,2.4,0.04,Industrial Select Sector SPDR Fund,XLI,""XLI: ETF con exposiciÃƒÂ³n indirecta a materiales de construcciÃƒÂ³n como cemento, hormigÃƒÂ³n y derivados a travÃƒÂ©s de compaÃƒÂ±ÃƒÂ­as industriales.""";
